Region Name,Region Code,Sub-region Name,Sub-region Code,District Name,District Code,State Name,State Code
Cuddapah,281,Cuddapah,2810,Y.S.R. (Cuddapah),10,Andhra Pradesh,28
Cuddapah,281,Cuddapah,2810,Chittoor,13,Andhra Pradesh,28
Cuddapah,281,Cuddapah,2810,Annamayya,17,Andhra Pradesh,28
Cuddapah,281,Cuddapah,2810,Tirupathi,16,Andhra Pradesh,28
Cuddapah,281,Anantapur,2811,Ananthapuramu,12,Andhra Pradesh,28
Cuddapah,281,Anantapur,2811,Sri Satya Sai,19,Andhra Pradesh,28
Cuddapah,281,Guntur,2812,Guntur,7,Andhra Pradesh,28
Cuddapah,281,Guntur,2812,Palnadu,14,Andhra Pradesh,28
Cuddapah,281,Guntur,2812,Bapatla,15,Andhra Pradesh,28
Cuddapah,281,Kurnool,2813,Kurnool,11,Andhra Pradesh,28
Cuddapah,281,Kurnool,2813,Nandyal,18,Andhra Pradesh,28
Cuddapah,281,Nellore,2814,Prakasam,8,Andhra Pradesh,28
Cuddapah,281,Nellore,2814,Sri Potti Sriramulu Nellore,9,Andhra Pradesh,28
Vijayawada,282,Vijayawada,2820,West Godavari,5,Andhra Pradesh,28
Vijayawada,282,Vijayawada,2820,Krishna,6,Andhra Pradesh,28
Vijayawada,282,Vijayawada,2820,Eluru,23,Andhra Pradesh,28
Vijayawada,282,Vijayawada,2820,Ntr,26,Andhra Pradesh,28
Vijayawada,282,Kakinada,2821,East Godavari,4,Andhra Pradesh,28
Vijayawada,282,Kakinada,2821,Dr. Br Ambedkar Konaseema,22,Andhra Pradesh,28
Vijayawada,282,Kakinada,2821,Kakinada,24,Andhra Pradesh,28
Vijayawada,282,Kakinada,2821,Yanam,1,Puducherry,34
Vijayawada,282,Visakhapatnam,2822,Srikakulam,1,Andhra Pradesh,28
Vijayawada,282,Visakhapatnam,2822,Vizianagaram,2,Andhra Pradesh,28
Vijayawada,282,Visakhapatnam,2822,Visakhapatnam,3,Andhra Pradesh,28
Vijayawada,282,Visakhapatnam,2822,Alluri Sitharama Raju,20,Andhra Pradesh,28
Vijayawada,282,Visakhapatnam,2822,Anakapalli,21,Andhra Pradesh,28
Vijayawada,282,Visakhapatnam,2822,Parvathipuram Manyam,25,Andhra Pradesh,28
Guwahati,181,Guwahati,1810,Kokrajhar,1,Assam,18
Guwahati,181,Guwahati,1810,Dhubri,2,Assam,18
Guwahati,181,Guwahati,1810,Goalpara,3,Assam,18
Guwahati,181,Guwahati,1810,Barpeta,4,Assam,18
Guwahati,181,Guwahati,1810,Bongaigaon,20,Assam,18
Guwahati,181,Guwahati,1810,Chirang,21,Assam,18
Guwahati,181,Guwahati,1810,Kamrup,22,Assam,18
Guwahati,181,Guwahati,1810,Kamrup Metropolitan,23,Assam,18
Guwahati,181,Guwahati,1810,Nalbari,24,Assam,18
Guwahati,181,Guwahati,1810,Baksa,25,Assam,18
Guwahati,181,Guwahati,1810,South Salma Mankachar,31,Assam,18
Guwahati,181,Silchar,1811,Karbi Anglong,15,Assam,18
Guwahati,181,Silchar,1811,Dima Hasao,16,Assam,18
Guwahati,181,Silchar,1811,Cachar,17,Assam,18
Guwahati,181,Silchar,1811,Karimganj,18,Assam,18
Guwahati,181,Silchar,1811,Hailakandi,19,Assam,18
Guwahati,181,Silchar,1811,West Karbi angling,29,Assam,18
Dibrugarh,182,Dibrugarh,1820,Tinsukia,10,Assam,18
Dibrugarh,182,Dibrugarh,1820,Dibrugarh,11,Assam,18
Dibrugarh,182,Jorhat,1821,Morigaon,5,Assam,18
Dibrugarh,182,Jorhat,1821,Nagaon,6,Assam,18
Dibrugarh,182,Jorhat,1821,Sivasagar,12,Assam,18
Dibrugarh,182,Jorhat,1821,Jorhat,13,Assam,18
Dibrugarh,182,Jorhat,1821,Golaghat,14,Assam,18
Dibrugarh,182,Jorhat,1821,Hojai,28,Assam,18
Dibrugarh,182,Jorhat,1821,Charaideo,30,Assam,18
Dibrugarh,182,Jorhat,1821,Majuli,33,Assam,18
Dibrugarh,182,Tezpur,1822,Sonitpur,7,Assam,18
Dibrugarh,182,Tezpur,1822,Lakhimpur,8,Assam,18
Dibrugarh,182,Tezpur,1822,Dhemaji,9,Assam,18
Dibrugarh,182,Tezpur,1822,Darrang,26,Assam,18
Dibrugarh,182,Tezpur,1822,Udalguri,27,Assam,18
Dibrugarh,182,Tezpur,1822,Biswanath,32,Assam,18
Muzaffarpur,101,Muzaffarpur,1010,Sheohar,3,Bihar,10
Muzaffarpur,101,Muzaffarpur,1010,Sitamarhi,4,Bihar,10
Muzaffarpur,101,Muzaffarpur,1010,Muzaffarpur,14,Bihar,10
Muzaffarpur,101,Muzaffarpur,1010,Saran,17,Bihar,10
Muzaffarpur,101,Muzaffarpur,1010,Vaishali,18,Bihar,10
Muzaffarpur,101,Darbhanga,1011,Madhubani,5,Bihar,10
Muzaffarpur,101,Darbhanga,1011,Darbhanga,13,Bihar,10
Muzaffarpur,101,Darbhanga,1011,Samastipur,19,Bihar,10
Muzaffarpur,101,Darbhanga,1011,Begusarai,20,Bihar,10
Muzaffarpur,101,Motihari,1012,Pashchim Champaran,1,Bihar,10
Muzaffarpur,101,Motihari,1012,Purba Champaran,2,Bihar,10
Muzaffarpur,101,Motihari,1012,Gopalganj,15,Bihar,10
Muzaffarpur,101,Motihari,1012,Siwan,16,Bihar,10
Muzaffarpur,101,Purnia,1013,Supaul,6,Bihar,10
Muzaffarpur,101,Purnia,1013,Araria,7,Bihar,10
Muzaffarpur,101,Purnia,1013,Kishanganj,8,Bihar,10
Muzaffarpur,101,Purnia,1013,Purnia,9,Bihar,10
Muzaffarpur,101,Purnia,1013,Katihar,10,Bihar,10
Muzaffarpur,101,Purnia,1013,Madhepura,11,Bihar,10
Muzaffarpur,101,Purnia,1013,Saharsa,12,Bihar,10
Muzaffarpur,101,Purnia,1013,Khagaria,21,Bihar,10
Patna,102,Patna,1020,Nalanda,27,Bihar,10
Patna,102,Patna,1020,Patna,28,Bihar,10
Patna,102,Patna,1020,Bhojpur,29,Bihar,10
Patna,102,Patna,1020,Buxar,30,Bihar,10
Patna,102,Patna,1020,Kaimur (Bhabua),31,Bihar,10
Patna,102,Patna,1020,Rohtas,32,Bihar,10
Patna,102,Bhagalpur,1021,Bhagalpur,22,Bihar,10
Patna,102,Bhagalpur,1021,Banka,23,Bihar,10
Patna,102,Bhagalpur,1021,Munger,24,Bihar,10
Patna,102,Bhagalpur,1021,Lakhisarai,25,Bihar,10
Patna,102,Bhagalpur,1021,Sheikhpura,26,Bihar,10
Patna,102,Bhagalpur,1021,Jamui,36,Bihar,10
Patna,102,Gaya,1022,Aurangabad,33,Bihar,10
Patna,102,Gaya,1022,Gaya,34,Bihar,10
Patna,102,Gaya,1022,Nawada,35,Bihar,10
Patna,102,Gaya,1022,Jehanabad,37,Bihar,10
Patna,102,Gaya,1022,Arwal,38,Bihar,10
Raipur,221,Raipur,2210,Raipur,11,Chhattisgarh,22
Raipur,221,Raipur,2210,Mahasamund,12,Chhattisgarh,22
Raipur,221,Raipur,2210,Dhamtari,13,Chhattisgarh,22
Raipur,221,Raipur,2210,Uttar Bastar Kanker,14,Chhattisgarh,22
Raipur,221,Raipur,2210,Bastar,15,Chhattisgarh,22
Raipur,221,Raipur,2210,Narayanpur,16,Chhattisgarh,22
Raipur,221,Raipur,2210,Dakshin Bastar Dantewada,17,Chhattisgarh,22
Raipur,221,Raipur,2210,Bijapur,18,Chhattisgarh,22
Raipur,221,Raipur,2210,Balodabazar-Bhatapara,19,Chhattisgarh,22
Raipur,221,Raipur,2210,Gariyaband,20,Chhattisgarh,22
Raipur,221,Raipur,2210,Kondagaon,21,Chhattisgarh,22
Raipur,221,Raipur,2210,Sukma,22,Chhattisgarh,22
Raipur,221,Ambikapur,2211,Korea,1,Chhattisgarh,22
Raipur,221,Ambikapur,2211,Surguja,2,Chhattisgarh,22
Raipur,221,Ambikapur,2211,Jashpur,3,Chhattisgarh,22
Raipur,221,Ambikapur,2211,Surajpur,26,Chhattisgarh,22
Raipur,221,Ambikapur,2211,Balrampur-Ramanujganj,27,Chhattisgarh,22
Raipur,221,Bilaspur,2212,Raigarh,4,Chhattisgarh,22
Raipur,221,Bilaspur,2212,Korba,5,Chhattisgarh,22
Raipur,221,Bilaspur,2212,Janjgir-Champa,6,Chhattisgarh,22
Raipur,221,Bilaspur,2212,Bilaspur,7,Chhattisgarh,22
Raipur,221,Bilaspur,2212,Mungeli,25,Chhattisgarh,22
Raipur,221,Durg,2213,Kabeerdham,8,Chhattisgarh,22
Raipur,221,Durg,2213,Rajnandgaon,9,Chhattisgarh,22
Raipur,221,Durg,2213,Durg,10,Chhattisgarh,22
Raipur,221,Durg,2213,Bemetara,23,Chhattisgarh,22
Raipur,221,Durg,2213,Balod,24,Chhattisgarh,22
Ahmedabad,241,Ahmedabad,2410,Gandhinagar,6,Gujarat,24
Ahmedabad,241,Ahmedabad,2410,Ahmadabad,7,Gujarat,24
Ahmedabad,241,Bhavnagar,2411,Amreli,13,Gujarat,24
Ahmedabad,241,Bhavnagar,2411,Bhavnagar,14,Gujarat,24
Ahmedabad,241,Bhavnagar,2411,Botad,28,Gujarat,24
Ahmedabad,241,Bhavnagar,2411,Diu,1,D & N Haveli and Daman & Diu,25
Ahmedabad,241,Jamnagar,2412,Jamnagar,10,Gujarat,24
Ahmedabad,241,Jamnagar,2412,Porbandar,11,Gujarat,24
Ahmedabad,241,Jamnagar,2412,Devbhumi Dwarka,30,Gujarat,24
Ahmedabad,241,Rajkot,2413,Rajkot,9,Gujarat,24
Ahmedabad,241,Rajkot,2413,Junagadh,12,Gujarat,24
Ahmedabad,241,Rajkot,2413,Gir Somnath,31,Gujarat,24
Ahmedabad,241,Rajkot,2413,Morbi,33,Gujarat,24
Ahmedabad,241,Surendranagar,2414,Kachchh,1,Gujarat,24
Ahmedabad,241,Surendranagar,2414,Surendranagar,8,Gujarat,24
Vadodara,242,Vadodara,2420,Panch Mahals,17,Gujarat,24
Vadodara,242,Vadodara,2420,Dohad,18,Gujarat,24
Vadodara,242,Vadodara,2420,Vadodara,19,Gujarat,24
Vadodara,242,Vadodara,2420,Narmada,20,Gujarat,24
Vadodara,242,Vadodara,2420,Bharuch,21,Gujarat,24
Vadodara,242,Vadodara,2420,Chhota Udepur,29,Gujarat,24
Vadodara,242,Vadodara,2420,Mahisagar,32,Gujarat,24
Vadodara,242,Mahesana,2421,Banas Kantha,2,Gujarat,24
Vadodara,242,Mahesana,2421,Patan,3,Gujarat,24
Vadodara,242,Mahesana,2421,Mahesana,4,Gujarat,24
Vadodara,242,Nadiad,2422,Sabar Kantha,5,Gujarat,24
